polygon_id,point_index,geocoordinate
0,0,"(10.025536, 53.553569)"
0,1,"(10.025448, 53.553563)"
0,2,"(10.025361, 53.553554)"
0,3,"(10.025273, 53.553545)"
0,4,"(10.025185, 53.553538)"
0,5,"(10.025097, 53.553529)"
0,6,"(10.025009, 53.553521)"
0,7,"(10.024921, 53.553512)"
0,8,"(10.024834, 53.553503)"
0,9,"(10.024747, 53.553491)"
2,0,"(10.025539, 53.553726)"
2,1,"(10.025450, 53.553718)"
2,2,"(10.025361, 53.553710)"
2,3,"(10.025272, 53.553701)"
2,4,"(10.025183, 53.553692)"
2,5,"(10.025094, 53.553683)"
2,6,"(10.025005, 53.553674)"
2,7,"(10.024916, 53.553667)"
2,8,"(10.024826, 53.553663)"
2,9,"(10.024737, 53.553654)"
3,0,"(10.024763, 53.553587)"
3,1,"(10.024848, 53.553597)"
3,2,"(10.024933, 53.553604)"
3,3,"(10.025018, 53.553613)"
3,4,"(10.025104, 53.553620)"
3,5,"(10.025189, 53.553627)"
3,6,"(10.025274, 53.553637)"
3,7,"(10.025359, 53.553647)"
3,8,"(10.025443, 53.553658)"
3,9,"(10.025529, 53.553662)"
4,0,"(10.024023, 53.554112)"
4,1,"(10.024072, 53.554072)"
4,2,"(10.024113, 53.554030)"
4,3,"(10.024157, 53.553988)"
4,4,"(10.024201, 53.553946)"
4,5,"(10.024248, 53.553906)"
4,6,"(10.024294, 53.553865)"
4,7,"(10.024328, 53.553820)"
4,8,"(10.024358, 53.553774)"
4,9,"(10.024402, 53.553732)"
5,0,"(10.024401, 53.553154)"
5,1,"(10.024406, 53.553188)"
5,2,"(10.024413, 53.553222)"
5,3,"(10.024431, 53.553254)"
5,4,"(10.024470, 53.553279)"
5,5,"(10.024515, 53.553300)"
5,6,"(10.024558, 53.553322)"
5,7,"(10.024593, 53.553349)"
5,8,"(10.024621, 53.553379)"
5,9,"(10.024652, 53.553408)"
6,0,"(10.025537, 53.553607)"
6,1,"(10.025451, 53.553601)"
6,2,"(10.025366, 53.553593)"
6,3,"(10.025281, 53.553584)"
6,4,"(10.025196, 53.553576)"
6,5,"(10.025111, 53.553567)"
6,6,"(10.025026, 53.553559)"
6,7,"(10.024941, 53.553551)"
6,8,"(10.024856, 53.553541)"
6,9,"(10.024770, 53.553534)"
7,0,"(10.025538, 53.553695)"
7,1,"(10.025450, 53.553688)"
7,2,"(10.025363, 53.553678)"
7,3,"(10.025275, 53.553670)"
7,4,"(10.025188, 53.553661)"
7,5,"(10.025100, 53.553651)"
7,6,"(10.025012, 53.553644)"
7,7,"(10.024924, 53.553638)"
7,8,"(10.024836, 53.553630)"
7,9,"(10.024749, 53.553619)"
8,0,"(10.023405, 53.553450)"
8,1,"(10.023510, 53.553465)"
8,2,"(10.023615, 53.553482)"
8,3,"(10.023721, 53.553496)"
8,4,"(10.023827, 53.553511)"
8,5,"(10.023934, 53.553522)"
8,6,"(10.024040, 53.553534)"
8,7,"(10.024147, 53.553547)"
8,8,"(10.024253, 53.553561)"
8,9,"(10.024360, 53.553568)"
9,0,"(10.023976, 53.554111)"
9,1,"(10.024008, 53.554072)"
9,2,"(10.024035, 53.554031)"
9,3,"(10.024067, 53.553992)"
9,4,"(10.024102, 53.553954)"
9,5,"(10.024138, 53.553915)"
9,6,"(10.024173, 53.553877)"
9,7,"(10.024207, 53.553839)"
9,8,"(10.024238, 53.553799)"
9,9,"(10.024276, 53.553762)"
11,0,"(10.023950, 53.553008)"
11,1,"(10.023965, 53.552976)"
11,2,"(10.023984, 53.552946)"
11,3,"(10.024008, 53.552916)"
11,4,"(10.024007, 53.552884)"
11,5,"(10.023987, 53.552853)"
11,6,"(10.023959, 53.552825)"
11,7,"(10.023933, 53.552796)"
11,8,"(10.023907, 53.552767)"
11,9,"(10.023883, 53.552737)"
12,0,"(10.023402, 53.553360)"
12,1,"(10.023475, 53.553375)"
12,2,"(10.023550, 53.553387)"
12,3,"(10.023625, 53.553397)"
12,4,"(10.023701, 53.553407)"
12,5,"(10.023775, 53.553419)"
12,6,"(10.023851, 53.553428)"
12,7,"(10.023928, 53.553432)"
12,8,"(10.024004, 53.553441)"
12,9,"(10.024078, 53.553454)"
13,0,"(10.023420, 53.553486)"
13,1,"(10.023524, 53.553501)"
13,2,"(10.023628, 53.553517)"
13,3,"(10.023733, 53.553531)"
13,4,"(10.023837, 53.553546)"
13,5,"(10.023942, 53.553558)"
13,6,"(10.024046, 53.553574)"
13,7,"(10.024149, 53.553592)"
13,8,"(10.024256, 53.553601)"
13,9,"(10.024362, 53.553609)"
14,0,"(10.024203, 53.553756)"
14,1,"(10.024169, 53.553782)"
14,2,"(10.024141, 53.553810)"
14,3,"(10.024119, 53.553841)"
14,4,"(10.024098, 53.553871)"
14,5,"(10.024075, 53.553901)"
14,6,"(10.024052, 53.553931)"
14,7,"(10.024028, 53.553960)"
14,8,"(10.024009, 53.553991)"
14,9,"(10.023994, 53.554023)"
15,0,"(10.024501, 53.554003)"
15,1,"(10.024512, 53.554018)"
15,2,"(10.024524, 53.554033)"
15,3,"(10.024534, 53.554048)"
15,4,"(10.024552, 53.554061)"
15,5,"(10.024573, 53.554072)"
15,6,"(10.024595, 53.554081)"
15,7,"(10.024619, 53.554089)"
15,8,"(10.024644, 53.554096)"
15,9,"(10.024669, 53.554103)"
