polygon_id,points
0,"439,906 439,935 445,936 452,952 469,1019 471,1023 495,1023 495,1010 490,1010 487,1006 483,986 479,980 475,952 465,921 465,906 439,906"
1,"16,362 16,369 30,369 38,374 50,384 50,387 59,391 80,414 86,415 125,457 149,475 165,483 194,494 229,502 311,505 318,500 318,487 311,464 247,471 191,463 152,447 133,436 131,432 106,420 87,403 87,400 72,391 67,381 61,380 54,370 42,368 41,362 16,362"
2,"322,740 319,748 288,752 246,764 210,768 188,775 162,776 135,784 131,788 82,792 52,799 10,797 10,828 19,827 23,823 51,819 58,815 107,811 132,804 155,803 164,799 196,795 202,791 238,787 292,772 319,771 327,766 337,766 342,759 340,740 322,740"
3,"10,381 10,391 17,391 51,415 72,438 83,444 125,489 181,529 204,535 213,542 223,543 226,547 258,553 310,555 329,548 329,540 322,540 318,533 269,535 255,530 226,527 220,522 208,519 186,503 174,490 144,476 142,472 125,463 123,458 96,436 83,421 61,405 43,387 43,381 10,381"
4,"284,777 264,784 262,788 241,794 212,796 175,807 136,810 127,815 127,824 91,823 92,828 87,831 10,829 10,860 30,860 30,855 34,852 86,846 111,839 135,838 157,831 172,830 183,823 217,822 231,817 255,815 279,806 319,803 324,799 347,796 343,772 284,772 284,777"
5,"464,906 464,935 471,936 476,949 480,977 488,1004 492,1008 496,1023 508,1023 499,972 487,927 486,906 464,906"
6,"978,573 978,579 969,583 944,584 927,591 858,597 830,604 736,616 723,623 677,624 674,630 719,631 745,628 751,634 751,638 715,652 674,656 646,666 612,672 599,679 586,680 577,685 560,687 560,710 567,710 576,702 587,702 607,695 654,689 677,679 695,678 725,663 747,660 763,651 768,641 805,625 844,620 873,622 895,619 916,612 967,603 984,596 1007,595 1023,590 1023,573 978,573"
7.0,"543,911 544,912 544,915 545,915 546,916 553,916 553,906 543,906 543,911"
7.1,"509,929 515,929 516,930 516,932 517,933 517,939 518,939 519,940 519,945 520,946 520,958 521,958 522,959 522,979 523,979 524,980 524,990 525,991 525,1006 526,1006 527,1007 527,1015 528,1016 528,1023 553,1023 553,1016 548,1016 547,1015 547,1012 546,1012 545,1011 545,999 544,999 543,998 543,983 542,982 542,970 541,970 540,969 540,960 539,959 539,949 538,949 537,948 537,935 536,935 535,934 535,925 534,924 534,906 509,906 509,929"
8,"381,324 381,347 388,348 391,360 400,433 402,430 409,430 415,448 415,489 444,489 444,455 439,455 436,451 428,407 427,381 414,343 407,332 407,324 381,324"
