point_index,image_x,image_y,original_x,original_y,lon,lat,geocoordinate,avg_width
0,268.5795153188427,588.2010367556707,268.5795153188427,435.79896324432934,4.51366231208343,0.003930647670081761,"(4.51366231208343,0.003930647670081761)",48387.01237780942
1,259.378059952705,631.6934056135133,259.378059952705,392.3065943864867,4.513579877999116,0.0035383719466648804,"(4.513579877999116,0.0035383719466648804)",48387.01237780942
2,249.55340154658592,675.0493446424164,249.55340154658592,348.9506553575836,4.513491860418434,0.0031473268038802312,"(4.513491860418434,0.0031473268038802312)",48387.01237780942
3,239.2993143008267,718.3059267103265,239.2993143008267,305.6940732896735,4.513399995374182,0.002757177881795729,"(4.513399995374182,0.002757177881795729)",48387.01237780942
4,228.83895494531836,761.5131850445014,228.83895494531836,262.48681495549863,4.5133062821367425,0.0023674739230539425,"(4.5133062821367425,0.0023674739230539425)",48387.01237780942
5,218.39449462194005,804.7242822026325,218.39449462194005,219.27571779736752,4.513212711144716,0.001977735441513049,"(4.513212711144716,0.001977735441513049)",48387.01237780942
6,208.18823020615832,847.9921512852624,208.18823020615832,176.00784871473763,4.5131212739610955,0.0015874850165664867,"(4.5131212739610955,0.0015874850165664867)",48387.01237780942
7,198.44353632401177,891.36609691723,198.44353632401177,132.63390308276996,4.513033971802411,0.0011962779502381518,"(4.513033971802411,0.0011962779502381518)",48387.01237780942
8,189.38560390413235,934.88833531685,189.38560390413235,89.11166468315002,4.512952822155544,0.0008037334735930085,"(4.512952822155544,0.0008037334735930085)",48387.01237780942
9,181.20062694850492,978.583091730055,181.20062694850492,45.416908269945,4.512879493131571,0.00040963308094868126,"(4.512879493131571,0.00040963308094868126)",48387.01237780942
