point_index,image_x,image_y,original_x,original_y,lon,lat,avg_width
0,549.4314838999226,436.431981151128,569890.2189320979,5937608.797267018,10.05570669886842,53.58266712744935,56.912382262382046
1,568.0820095043968,422.3739594393881,569892.0482263006,5937610.176115966,10.055734634399744,53.582679275401475,56.912382262382046
2,586.5591400498647,408.08885207698796,569893.8605134451,5937611.577238092,10.055762318087995,53.58269162578309,56.912382262382046
3,604.8414975576933,393.5553573693227,569895.6536967211,5937613.002722723,10.055789718734417,53.58270419765065,56.912382262382046
4,622.9067906668688,378.75297469058694,569897.4255897312,5937614.454580617,10.055816803769678,53.58271700936646,56.912382262382046
5,640.7317794295578,363.662140754932,569899.1739130386,5937615.934730594,10.055843539198738,53.58273007847904,56.912382262382046
6,658.2923660290425,348.2645015150412,569900.8963030636,5937617.444972868,10.055869889729212,53.5827434214822,56.912382262382046
7,675.5636578858083,332.5431190378962,569902.5903182747,5937618.986968758,10.055895818860328,53.58275705363196,56.912382262382046
8,692.5200162724668,316.48263566438635,569904.2534439557,5937620.562224584,10.055921288951303,53.5827709888011,56.912382262382046
9,709.1352281787209,300.0695391908732,569905.8831090633,5937622.172065661,10.055946261470098,53.58278523924326,56.912382262382046
